,Address,City,County,FRS Id,Facility Id,Facility Name,Is_Direct_Emitter,Is_Supplier,Latest Reported Industry Type (sectors),Latest Reported Industry Type (subparts),Latitude,Longitude,Parent Company,Parent Ownership %,Primary NAICS Code,State,Unnamed: 0,Last Reporting Year,Zip Code,Total Direct Emissions,Total Supplier Emissions,Total Emissions,GHG Quantity Associated with Coal-based liquid fuel production,GHG Quantity Associated with Petroleum Products Produced,GHG Quantity Associated with Petroleum Products Imported,GHG Quantity Associated with Petroleum Products Exported,GHG Quantity Associated with Natural Gas Supply,GHG Quantity Associated with Natural Gas Liquids Supply,GHG Quantity Associated with CO2 Supply ,Direct Point Emitters,Onshore Oil & Gas Prod.,Gathering & Boosting,Transmission Pipelines,LDC - Direct Emissions,SF6 from Elec. Equip.
0,5105 LAKE TERRELL ROAD,FERNDALE,WHATCOM COUNTY,110000490166.0,1000001,PSE Ferndale Generating Station,Yes,No,Power Plants,D,48.828707,-122.685533,PUGET HOLDINGS LLC,100.0,221112.0,WA,105661,2023,98248.0,5290424.43,0.0,5290424.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5290424.43,0.0,0.0,0.0,0.0,0.0
1,524 E. CENTER STREET,DUNKIRK,JAY COUNTY,110041175000.0,1000002,Ardagh Glass Inc. (Dunkirk),Yes,No,Minerals,"C,N",40.371053,-85.198134,ARDAGH GLASS INC,100.0,327213.0,IN,105662,2023,47336.0,1585478.916,0.0,1585478.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1585478.916,0.0,0.0,0.0,0.0,0.0
2,620 Facet Road,Henderson,VANCE COUNTY,110001482887.0,1000003,Ardagh Glass Inc. (Henderson),Yes,No,Minerals,"C,N",36.291066,-78.391883,ARDAGH GLASS INC,100.0,327213.0,NC,105663,2023,27537.0,1104855.982,0.0,1104855.982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1104855.982,0.0,0.0,0.0,0.0,0.0
3,1200 NORTH LOGAN STREET,LINCOLN,LOGAN COUNTY,110000833518.0,1000004,Ardagh Glass Inc. (Lincoln),Yes,No,Minerals,"C,N",40.157643,-89.353796,ARDAGH GLASS INC,100.0,327213.0,IL,73072,2019,62656.0,536155.776,0.0,536155.776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536155.776,0.0,0.0,0.0,0.0,0.0
4,24441 AVENUE 12 & ROAD 24 1/2,MADERA,MADERA COUNTY,110000482022.0,1000005,Ardagh Glass Inc. (Madera),Yes,No,Minerals,"C,N",36.92375,-120.10151,ARDAGH GLASS INC,100.0,327213.0,CA,105664,2023,93637.0,1100249.176,0.0,1100249.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100249.176,0.0,0.0,0.0,0.0,0.0
5,1 NATIONAL STREET,MILFORD,WORCESTER COUNTY,110000834900.0,1000006,Ardagh Glass Inc. (Milford),Yes,No,Minerals,"C,N",42.127778,-71.510556,ARDAGH GROUP,100.0,327213.0,MA,64889,2018,1757.0,337939.414,0.0,337939.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337939.414,0.0,0.0,0.0,0.0,0.0
6,1000 N HILL RD,BERNALILLO,SANDOVAL COUNTY,110007014774.0,1000007,AMERICAN GYPSUM - BERNALILLO (WALLBOARD) PLANT,Yes,No,Minerals,C,35.330083,-106.5275,EAGLE MATERIALS INC,100.0,327420.0,NM,105665,2023,87004.0,90214.008,0.0,90214.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90214.008,0.0,0.0,0.0,0.0,0.0
7,33 Stearns Street,Massena,ST. LAWRENCE COUNTY,110071159292.0,1000008,"St. Lawrence Gas Co., Inc.",No,Yes,,NN-LDC,44.9293,-74.8756,ST LAWRENCE GAS CO,100.0,221210.0,NY,105666,2023,13662.0,0.0,5452009.2,5452009.2,0.0,0.0,0.0,0.0,5452009.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6337 DELISA RD.,MILTON,SANTA ROSA COUNTY,110013945437.0,1000010,SANTA ROSA CENTRAL LANDFILL,Yes,No,Waste,HH,30.5804,-87.0621,SANTA ROSA BOARD OF COUNTY COMMISSIONERS,100.0,562212.0,FL,105667,2023,32583.0,1783772.7,0.0,1783772.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1783772.7,0.0,0.0,0.0,0.0,0.0
9,284 South Avenue,Poughkeepsie,DUTCHESS COUNTY,110000807379.0,1000011,Central Hudson Gas and Electric Corporation,No,Yes,,"NN-LDC,W-LDC",41.690648,-73.931605,CENTRAL HUDSON GAS & ELECTRIC CORP,100.0,221122.0,NY,105668,2023,12601.0,323864.696,14643667.4,14967532.096,0.0,0.0,0.0,0.0,14643667.4,0.0,0.0,0.0,0.0,0.0,0.0,323864.696,0.0
