PGM_SYS_ID,ACTIVITY_ID,AGENCY_TYPE_DESC,STATE_CODE,AIR_LCON_CODE,COMP_DETERMINATION_UID,ENF_RESPONSE_POLICY_CODE,PROGRAM_CODES,PROGRAM_DESCS,POLLUTANT_CODES,POLLUTANT_DESCS,EARLIEST_FRV_DETERM_DATE,HPV_DAYZERO_DATE,HPV_RESOLVED_DATE,DSCV_PATHWAY_DATE,NFTC_PATHWAY_DATE
IN0000001803100031,3603835894,State,IN,,IN000A107474,HPV,CAAFESOP,Federally-Enforceable State Operating Permit - Non Title V,300000322,TOTAL PARTICULATE MATTER,11-27-2023,12-27-2023,06-10-2024,,12-18-2023
CASJV00006047N1657,3603884359,Local,CA,SJV,CASJVA2000000000000005073,HPV,CAATVP,Title V Permits,300000329,FACIL,12-06-2023,12-06-2023,04-22-2024,,01-03-2024
CASJV00006077N0728,3603712032,Local,CA,SJV,CASJVA2000000000000004867,HPV,CAATVP,Title V Permits,300000329,FACIL,05-12-2023,05-12-2023,01-29-2024,,05-18-2023
CASJV00006077N0728,3603841846,Local,CA,SJV,CASJVA2000000000000005032,HPV,CAATVP,Title V Permits,300000329,FACIL,07-05-2023,07-05-2023,02-20-2024,,07-05-2023
GA0000001302100211,3603611686,State,GA,,GA000A0000130210021100045,FRV,CAANSPS CAASIP,New Source Performance Standards State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000328,ADMIN,05-19-2023,,05-19-2023,04-11-2023,05-19-2023
CASJV00006107S0334,3603831542,Local,CA,SJV,CASJVA2000000000000005024,HPV,CAATVP,Title V Permits,300000329,FACIL,09-14-2023,09-14-2023,05-30-2024,,09-15-2023
CO0000000877702937,3604473925,State,CO,,CO000A0000087770293700002,FRV,CAANSPS CAASIP,New Source Performance Standards State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000328 300000329,ADMIN FACIL,01-23-2023,,,10-25-2022,07-21-2025
CO0000000812305468,3604183977,State,CO,,CO000A0000081230546800149,FRV,CAANSPS CAANSR CAAPSD CAASIP CAATVP,New Source Performance Standards New Source Review Permit Requirements Prevention of Significant Deterioration of Air Quality State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards Title V Permits,300000282 300000329,FACIL NITROGEN OXIDES,11-23-2023,,,08-25-2023,11-19-2024
GA0000001323100004,3603797116,State,GA,,GA000A0000132310000400019,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,10193 10461 300000207 300000282 300000328,ADMIN Carbon monoxide Formaldehyde NITROGEN OXIDES Sulfur dioxide,12-06-2023,,05-15-2024,09-26-2023,12-06-2023
HI0000001500300170,3603669061,State,HI,,HI000AV1658,FRV,CAATVP,Title V Permits,,,06-28-2023,,,09-13-2022,06-28-2023
IL000089469AAH,3603779710,State,IL,,IL000AA-2023-00179,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,09-28-2023,,,,10-24-2023
AL0000000109700107,3603711113,State,AL,,AL000A102684,HPV,CAAFESOP,Federally-Enforceable State Operating Permit - Non Title V,300000119,Styrene,08-10-2023,08-10-2023,09-24-2024,07-10-2023,08-10-2023
AL0000000110300097,3603711110,State,AL,,AL000A102682,FRV,CAAMACT CAAPSD CAATVP,MACT Standards (40 CFR Part 63) Prevention of Significant Deterioration of Air Quality Title V Permits,300000243 300000328,ADMIN VOLATILE ORGANIC COMPOUNDS (VOCS),08-17-2023,,08-17-2023,07-17-2023,08-17-2023
AR0000000504501010,3603846157,State,AR,,AR000A108213,HPV,CAANSPS CAASIP,New Source Performance Standards State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,11-02-2023,11-02-2023,04-12-2024,10-27-2023,11-02-2023
MI00000000000N7754,3603593035,State,MI,,MI000AN7754CF0000076296,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,03-31-2023,,,,03-31-2023
IN0000001816700131,3603849293,State,IN,,IN000A108435,FRV,CAAFESOP,Federally-Enforceable State Operating Permit - Non Title V,300000329,FACIL,10-03-2023,,,,
IA0000001902100067,3603784810,State,IA,,IA000A104058,FRV,CAAGACTM CAASIP,40 CFR Part 63 Area Sources State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,,,10-11-2023,,11-15-2023,08-21-2023,10-11-2023
MO0000002920500010,3603791632,State,MO,,MO000A104261,FRV,CAATVP,Title V Permits,,,08-15-2023,,11-09-2023,08-15-2023,11-09-2023
IA0000001909900150,3603669850,State,IA,,IA000A101745,FRV,CAATVP,Title V Permits,,,08-01-2023,,07-13-2023,,08-01-2023
IA0000001909900150,3603795742,State,IA,,IA000A104486,FRV,CAATVP,Title V Permits,,,11-28-2023,,11-08-2023,10-01-2023,11-08-2023
IA0000001914500038,3603691717,State,IA,,IA000A102173,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000236,VISIBLE EMISSIONS,08-23-2023,,08-09-2023,06-12-2023,08-09-2023
KS0000002004700003,3603593739,State,KS,,KS000ARPT000314,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,,,04-02-2023,,,04-02-2023,04-20-2023
MS0000002806300018,3603864958,State,MS,,MS000ACFH22400,FRV,CAANESH CAASIP,National Emission Standards for Hazardous Air Pollutants (40 CFR Part 61) State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,12-22-2023,,03-13-2025,10-26-2023,12-22-2023
MS0000002809500082,3603681916,State,MS,,MS000ACFH21715,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,07-27-2023,,07-27-2023,05-31-2023,07-27-2023
NH0000003301590915,3603675353,State,NH,,NH000A101899,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,,,06-07-2023,,,,
NE0000003106700091,3603597180,State,NE,,NE000A00003106700091004,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000377,PM10 (Filterable portion only),04-26-2023,,,,
NJ0000003400301605,3603901662,State,NJ,,NJ000A110916,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,,,11-27-2023,,,,
NJ0000003400301605,3603901664,State,NJ,,NJ000A110918,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,,,11-27-2023,,,,
MO0000002900900066,3603724927,State,MO,,MO000A102883,FRV,CAATVP,Title V Permits,,,08-10-2023,,11-14-2023,08-10-2023,09-11-2023
MD0000002403302568,3603631548,State,MD,,MD000A101115,HPV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000282,NITROGEN OXIDES,06-15-2023,06-15-2023,,05-18-2023,06-15-2023
NE0000003109700018,3603597185,State,NE,,NE000A00003109700018029,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,,,04-21-2023,,,,
MA0000002504200285,3603814238,State,MA,,MA000A105783,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000242 300000243,TOTAL HAZARDOUS AIR POLLUTANTS (HAPS) VOLATILE ORGANIC COMPOUNDS (VOCS),12-20-2023,,,,
MO0000002914500036,3603735735,State,MO,,MO000A102947,FRV,CAATVP,Title V Permits,,,09-10-2023,,11-14-2023,08-10-2023,09-13-2023
NJ0000003403940055,3603831016,State,NJ,,NJ000A106939,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,,,06-09-2023,,,,
NJ0000003403940055,3603831077,State,NJ,,NJ000A106941,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,,,06-09-2023,,,,
PA000701447,3603518367,State,PA,,PA000A0000F00000003504866,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,02-16-2023,,,,
TX0000004820300101,3603607301,State,TX,,TX000A0253413622023118001,FRV,CAATVP,Title V Permits,300000329,FACIL,04-21-2023,,07-28-2025,04-21-2023,
OH0000000285030144,3603769934,State,OH,,OH000AC13795,FRV,CAAFESOP CAASIP,Federally-Enforceable State Operating Permit - Non Title V State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,10-29-2023,,10-26-2023,,10-06-2023
PA000630833,3603931837,State,PA,,PA000A0000F00000003631182,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,08-17-2023,,,,
WASWC0005304100022,3603668580,Local,WA,SWC,WASWCA101689,FRV,CAAMACT CAANSPS CAASIP CAATVP,MACT Standards (40 CFR Part 63) New Source Performance Standards State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards Title V Permits,300000236,VISIBLE EMISSIONS,07-31-2023,,,03-15-2023,
WASWC0005304100022,3603805957,Local,WA,SWC,WASWCA105155,FRV,CAAMACT CAANSPS CAASIP CAATVP,MACT Standards (40 CFR Part 63) New Source Performance Standards State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards Title V Permits,300000236,VISIBLE EMISSIONS,12-07-2023,,,,
OK0000004004900048,3603598939,State,OK,,OK000A4004900048EC0011090,FRV,CAAMACT,MACT Standards (40 CFR Part 63),300000329,FACIL,03-15-2023,,10-18-2023,,
PA000666523,3603748470,State,PA,,PA000A0000F00000003623078,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,09-22-2023,,,,
PA000666523,3603931872,State,PA,,PA000A0000F00000003646728,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,11-17-2023,,,,
OH0000000125040161,3603748308,State,OH,,OH000AC13774,FRV,CAAFESOP CAASIP,Federally-Enforceable State Operating Permit - Non Title V State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,10-08-2023,,09-29-2023,,09-28-2023
PA000570679,3603674682,State,PA,,PA000A0000F00000003593379,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,07-20-2023,,,,
PA000643000,3603586297,State,PA,,PA000A0000F00000003540481,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,04-19-2023,,,,
PA000662810,3603498012,State,PA,,PA000A0000F00000003495268,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,01-30-2023,,,,
PA000668679,3603682188,State,PA,,PA000A0000F00000003598341,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,08-09-2023,,,,
PA000512689,3603498010,State,PA,,PA000A0000F00000003495237,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,01-30-2023,,,,
PA000661797,3603486842,State,PA,,PA000A0000F00000003492843,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,01-16-2023,,,,
PA000547481,3603931876,State,PA,,PA000A0000F00000003652019,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,11-14-2023,,,,
PA000574142,3603486850,State,PA,,PA000A0000F00000003494567,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,01-26-2023,,,,
PA000574142,3603931927,State,PA,,PA000A0000F00000003663367,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,07-11-2023,,,,
OH0000000238000187,3603256993,State,OH,,OH000AC13404,FRV,CAAFESOP CAANSPS CAASIP,Federally-Enforceable State Operating Permit - Non Title V New Source Performance Standards State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000243 300000282 300000329,FACIL NITROGEN OXIDES VOLATILE ORGANIC COMPOUNDS (VOCS),08-28-2023,,07-27-2023,,06-13-2022
OK0000004015100086,3604050156,State,OK,,OK000A4015100086EC0012928,FRV,CAANSPS,New Source Performance Standards,300000329,FACIL,08-20-2023,,12-26-2024,08-20-2023,
SD0000004608100005,3603651617,State,SD,,SD000A101419,FRV,CAATVP,Title V Permits,,,07-14-2023,,07-14-2023,,
PA000544994,3603486831,State,PA,,PA000A0000F00000003490676,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,01-17-2023,,,,
GA0000001304500008,3603781928,State,GA,,GA000A0000130450000800444,FRV,CAASIP CAATVP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards Title V Permits,300000322,TOTAL PARTICULATE MATTER,10-20-2023,,10-20-2023,09-05-2023,10-20-2023
NJ0000003402318893,3603674786,State,NJ,,NJ000A101872,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,,,02-13-2023,,,,
NM0000003502504198,3603816914,State,NM,,NM000A106058,FRV,CAATVP,Title V Permits,300000010 300000243,Hydrogen sulfide VOLATILE ORGANIC COMPOUNDS (VOCS),12-27-2023,,10-21-2024,04-21-2023,02-07-2024
NC0000003701300168,3603747632,State,NC,,NC000A0000370130016800073,FRV,CAAMACT CAASIP,MACT Standards (40 CFR Part 63) State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000242 300000243,TOTAL HAZARDOUS AIR POLLUTANTS (HAPS) VOLATILE ORGANIC COMPOUNDS (VOCS),09-14-2023,,09-25-2023,,
NC0000003700700145,3603544052,State,NC,,NC000A0000370070014500036,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000119,Styrene,03-01-2023,,03-01-2023,,
OK0000004001500077,3603535623,State,OK,,OK000A4001500077EC0010944,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,02-17-2023,,08-05-2024,02-17-2023,
IN0000001816900066,3604402881,State,IN,,IN000A127735,FRV,CAAFESOP,Federally-Enforceable State Operating Permit - Non Title V,300000329,FACIL,01-09-2023,,05-07-2025,,
IN0000001816900066,3604402923,State,IN,,IN000A127741,FRV,CAAFESOP,Federally-Enforceable State Operating Permit - Non Title V,300000242,TOTAL HAZARDOUS AIR POLLUTANTS (HAPS),10-30-2023,,05-16-2025,,
TX0000004814900262,3603743043,State,TX,,TX000A0331459882023248001,FRV,CAATVP,Title V Permits,300000329,FACIL,04-21-2023,,09-12-2024,04-21-2023,
MI00000000000N7999,3603675332,State,MI,,MI000AN7999CF0000076993,FRV,CAANSR CAASIP,New Source Review Permit Requirements State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,07-28-2023,,,,07-28-2023
MI00000000000N6944,3603525116,State,MI,,MI000AN6944CF0000075476,FRV,CAANSR CAASIP,New Source Review Permit Requirements State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,02-03-2023,,,,02-03-2023
MI00000000000N6944,3603646284,State,MI,,MI000AN6944CF0000076619,FRV,CAANSR,New Source Review Permit Requirements,300000329,FACIL,05-15-2023,,,,05-15-2023
MI00000000000N6944,3603646291,State,MI,,MI000AN6944CF0000076774,FRV,CAANSR,New Source Review Permit Requirements,300000329,FACIL,06-26-2023,,,,06-26-2023
PA000631824,3603931946,State,PA,,PA000A0000F00000003671339,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,12-30-2023,,,,
VT0000005001100029,3603811149,State,VT,,VT000A105512,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,7003,Particulate matter,05-11-2023,,,04-10-2023,05-11-2023
NE0000003114103005,3603509812,State,NE,,NE000A00003114103005005,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,,,02-10-2023,,,,
OH0000000351010182,3603619620,State,OH,,OH000AC13676,FRV,CAAFESOP CAASIP,Federally-Enforceable State Operating Permit - Non Title V State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,06-09-2023,,,,05-26-2023
IN0000001808500012,3603671367,State,IN,,IN000A101797,FRV,CAAFESOP,Federally-Enforceable State Operating Permit - Non Title V,300000329,FACIL,06-22-2023,,,,
NH0000003301100031,3603948298,State,NH,,NH000A112932,FRV,CAAFENF,"Federally-Enforceable Requirement, Non Specified",,,12-13-2023,,,12-13-2023,
IN0000001809700041,3603814985,State,IN,,IN000A105859,FRV,CAATVP,Title V Permits,7003 10193 300000282,Carbon monoxide NITROGEN OXIDES Particulate matter,04-05-2023,,,,
IN0000001809700424,3603865937,State,IN,,IN000A109796,FRV,CAAFESOP,Federally-Enforceable State Operating Permit - Non Title V,300000329,FACIL,03-02-2023,,08-12-2024,,06-26-2024
SC00011400056,3603738944,State,SC,,SC000A103013,FRV,CAAMACT,MACT Standards (40 CFR Part 63),,,04-04-2023,,06-22-2023,04-04-2023,06-22-2023
IN0000001810700065,3603586705,State,IN,,IN000A100266,FRV,CAAFESOP,Federally-Enforceable State Operating Permit - Non Title V,10373 300000329,FACIL Particulate matter - PM10,01-24-2023,,01-08-2025,,10-10-2024
KS0000002011100049,3603593747,State,KS,,KS000ARPT000322,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,,,04-02-2023,,,04-02-2023,04-20-2023
NJ0000003400303177,3603592436,State,NJ,,NJ000A100358,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,,,04-10-2023,,,,
SC00012000412,3603739358,State,SC,,SC000A103020,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,,,05-25-2023,,08-01-2023,05-08-2023,08-01-2023
OK0000004005100098,3603574099,State,OK,,OK000A4005100098EC0011365,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000319,PARTICULATE MATTER < 10 UM,01-18-2023,,04-12-2023,,
IN0000001815700037,3603856660,State,IN,,IN000A108999,FRV,CAAFESOP,Federally-Enforceable State Operating Permit - Non Title V,5409,Total hazardous air pollutants,12-04-2023,,,,
IN0000001816700147,3603577195,State,IN,,IN000A100115,FRV,CAATVP,Title V Permits,10358,Nitrogen oxides,04-05-2023,,,,
KS0000002077700745,3603593695,State,KS,,KS000ARPT000268,FRV,CAATVP,Title V Permits,,,03-02-2023,,,03-02-2023,
AK0000000209000081,3604044752,State,AK,,AK000A0000HPV7018,FRV,CAATVP,Title V Permits,300000328,ADMIN,11-28-2023,,,11-28-2023,
CO0000000801700097,3603766511,State,CO,,CO000A0000080170009700002,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000305 300000328 300000329,ADMIN FACIL TOTAL HYDROCARBONS,10-19-2023,,,06-03-2022,10-25-2023
NY0000002610100310,3604173363,State,NY,,NY000A0000261010031000331,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,05-15-2023,,06-27-2024,01-31-2023,05-15-2023
MI00000000000N5600,3603533243,State,MI,,MI000AN5600CF0000075676,FRV,CAANSR,New Source Review Permit Requirements,300000329,FACIL,03-07-2023,,,,03-07-2023
MI00000000000N5600,3603856223,State,MI,,MI000AN5600CF0000076887,FRV,CAANSR CAASIP,New Source Review Permit Requirements State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,07-12-2023,,,,07-12-2023
NCFCO0003706701060,3603681394,Local,NC,FCO,NCFCOA101992,FRV,CAANSPSM,New Source Performance Standards (Non-Major),,,08-09-2023,,08-16-2023,,08-09-2023
NC0000003704900311,3603513492,State,NC,,NC000A0000370490031100047,FRV,CAANSPS,New Source Performance Standards,300000321,POLYCYCLIC ORGANIC MATTER,01-05-2023,,01-19-2023,,
AR0000000505100273,3603579985,State,AR,,AR000A100157,FRV,CAANSPS CAASIP,New Source Performance Standards State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,04-24-2023,,09-27-2023,10-20-2022,06-13-2022
IN0000001800300025,3604259403,State,IN,,IN000A125572,FRV,CAAFESOP,Federally-Enforceable State Operating Permit - Non Title V,300000329,FACIL,05-15-2023,,11-08-2024,,09-27-2024
AR0000000511901071,3603741250,State,AR,,AR000A103045,FRV,CAATVP,Title V Permits,300000329,FACIL,06-13-2023,,07-29-2024,03-14-2023,06-13-2023
CO0000000800501040,3603490236,State,CO,,CO000A0000080050104000002,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000243 300000328,ADMIN VOLATILE ORGANIC COMPOUNDS (VOCS),01-06-2023,,,10-08-2022,02-01-2023
OK0000004008100050,3603594350,State,OK,,OK000A4008100050EC0011479,FRV,CAANSPS,New Source Performance Standards,300000329,FACIL,05-04-2023,,11-03-2023,,
OK0000004077700132,3603791538,State,OK,,OK000A4077700132EC0012384,FRV,CAANSPS,New Source Performance Standards,300000319,PARTICULATE MATTER < 10 UM,11-07-2023,,08-27-2025,,
SD0000004611500005,3603614384,State,SD,,SD000A100813,FRV,CAATVP,Title V Permits,,,03-30-2023,,06-05-2023,,
SD0000004611500005,3603651614,State,SD,,SD000A101418,FRV,CAATVP,Title V Permits,,,07-14-2023,,07-14-2023,,
SD0000004611500005,3603836740,State,SD,,SD000A107552,HPV,CAATVP,Title V Permits,300000282,NITROGEN OXIDES,11-29-2023,11-29-2023,10-31-2024,11-29-2023,
FL0000001201102710,3603674245,State,FL,,FL000A0000120110271000017,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,06-30-2023,,08-10-2023,06-20-2023,07-07-2023
